,year,date,away_team,home_team,away_score,home_score,winner
58,2014,11/29/2014, Utah State, Boise State,19.0,50.0, Boise State
59,2014,11/29/2014, Washington, Washington State,31.0,13.0, Washington
60,2014,11/29/2014, Nevada, UNLV,49.0,27.0, Nevada
0,2014,09/04/2014, Arizona, UTSA,26.0,23.0, Arizona
1,2014,09/05/2014, Pittsburgh, Boston College,30.0,20.0, Pittsburgh
2,2014,09/05/2014, Washington State, Nevada,13.0,24.0, Nevada
3,2014,09/06/2014, Arkansas State, Tennessee,19.0,34.0, Tennessee
4,2014,09/06/2014, Buffalo, Army,39.0,47.0, Army
5,2014,09/06/2014, Florida Atlantic, Alabama,0.0,41.0, Alabama
6,2014,09/06/2014, McNeese State, Nebraska,24.0,31.0, Nebraska
7,2014,09/06/2014, Missouri, Toledo,49.0,24.0, Missouri
8,2014,09/06/2014, Oklahoma, Tulsa,52.0,7.0, Oklahoma
9,2014,09/06/2014, Stony Brook, Connecticut,16.0,19.0, Connecticut
10,2014,09/06/2014, SMU, North Texas,6.0,43.0, North Texas
